Title,Title_URL,Field,Title_URL1,Title2,Title3
VMware Tanzu,https://tanzu.vmware.com/tanzu,Portfolio of products and services to modernize apps,,,
Tanzu Basic ,https://tanzu.vmware.com/tanzu/basic,On-premises Kubernetes,https://tanzu.vmware.com/tanzu/standard,Tanzu  Standard,Multi-cloud Kubernetes
Tanzu Advanced,https://tanzu.vmware.com/tanzu/advanced,Containerized app lifecycle,https://tanzu.vmware.com/labs,VMware Tanzu Labs,Services to support the evolution of your app strategy
View All Tanzu Products,https://tanzu.vmware.com/products,Explore the full Tanzu portfolio,,,
VMware Cloud,https://www.vmware.com/in/cloud-solutions/multi-cloud.html,Proven VMware infrastructure delivered on any cloud,,,
VMware Cloud Foundation,https://www.vmware.com/in/products/cloud-foundation.html,Hybrid cloud platform,https://www.vmware.com/in/products/vmc-on-aws.html,VMware Cloud on AWS,Consistent vSphere-based infrastructure delivered on AWS
VMware Cloud on AWS Outposts,https://www.vmware.com/in/products/vmc-on-aws/outposts.html,Fully-managed VMware Cloud experience in your data center,https://www.vmware.com/in/products/vmc-on-aws/govcloud.html,VMware Cloud on AWS GovCloud (US),Secure hybrid cloud platform for government agencies
VMware Cloud on Dell EMC,https://www.vmware.com/in/products/vmc-on-dell-emc.html,Fully-managed hybrid cloud delivered as a service,https://www.vmware.com/in/cloud-solutions/azure.html,Azure VMware Solution,VMware Cloud delivered on Azure
Google Cloud VMware Engine,https://www.vmware.com/in/cloud-solutions/google-cloud.html,VMware Cloud delivered on Google Cloud,https://www.vmware.com/in/cloud-solutions/ibm-cloud.html,IBM Cloud for VMware Solutions,VMware Cloud delivered on IBM Cloud
Oracle Cloud VMware Solution,https://www.vmware.com/in/cloud-solutions/oracle-cloud.html,VMware Cloud delivered on Oracle Cloud,,,
vSphere,https://www.vmware.com/in/products/vsphere.html,Server virtualization software,https://www.vmware.com/in/products/vsan.html,vSAN,"Flash-optimized, vSphere-native storage"
NSX Data Center,https://www.vmware.com/in/products/nsx.html,Network and security virtualization platform,https://www.vmware.com/in/products/hyper-converged-infrastructure/dell-emc-vxrail.html,Dell EMC VxRail,HCI appliance for hybrid cloud
vCenter Server,https://www.vmware.com/in/products/vcenter-server.html,vSphere server management software,,,
vRealize Cloud Management,https://www.vmware.com/in/products/vrealize-cloud-management.html,Portfolio of products for hybrid cloud management,https://www.vmware.com/in/products/vrealize-cloud-universal.html,vRealize Cloud,SaaS management suite
vRealize Suite & vCloud Suite,https://www.vmware.com/in/products/vrealize-suite-vcloud-suite.html,Automation and operations with lifecycle management,https://www.vmware.com/in/products/vrealize-automation.html,vRealize Automation,Infrastructure automation platform
vRealize Operations,https://www.vmware.com/in/products/vrealize-operations.html,Self-driving IT operations management,https://www.vmware.com/in/products/vrealize-log-insight.html,vRealize Log Insight,Log management and analytics
CloudHealth Suite,https://www.cloudhealthtech.com/,"Multi-cloud management, security and operations",https://www.vmware.com/in/products/vrealize-ai-cloud.html,vRealize AI Cloud,Al/ML for self-driving data center operations
vRealize Lifecycle Manager,https://www.vmware.com/in/products/vrealize-lifecycle-manager.html,Lifecycle and content management,https://www.vmware.com/in/products/vrealize-network-insight.html,vRealize Network Insight,App-centric network visibility
vRealize Orchestrator,https://www.vmware.com/in/products/vrealize-orchestrator.html,Data center infrastructure workflow automation,https://www.vmware.com/in/products/vrealize-operations/true-visibility-suite.html,vRealize True Visibility Suite,Management packs for vRealize Operations
CloudHealth Secure State,https://go.cloudhealthtech.com/vmware-secure-state,Proactively manage cloud security insights and compliance risks,https://www.carbonblack.com/products/vmware-carbon-black-cloud-workload/,Carbon Black Workload,Advanced security purpose-built for workloads
Tanzu Service Mesh,https://tanzu.vmware.com/service-mesh,Enterprise-class service mesh technology for microservices,https://www.vmware.com/in/products/nsx-cloud.html,NSX Cloud,Hybrid cloud networking and security
VMware Cloud Disaster Recovery,https://www.vmware.com/in/products/cloud-disaster-recovery.html,On-demand disaster recovery with cloud economics,https://www.vmware.com/in/products/site-recovery.html,VMware Site Recovery,On-demand disaster recovery as a service (DRaaS)
Site Recovery Manager,https://www.vmware.com/in/products/site-recovery-manager.html,Disaster recovery for private cloud,,,
vSphere,https://www.vmware.com/in/products/vsphere.html,Server virtualization software,https://www.vmware.com/in/products/vcenter-server.html,vCenter Server,vSphere server management software
Amazon RDS on VMware,https://www.vmware.com/in/products/amazon-rds.html,Database management tool with automated administrative tasks,https://www.vmware.com/in/products/vsan.html,vSAN,"Flash-optimized, vSphere-native storage"
Virtual Volumes,https://www.vmware.com/in/products/vsphere/virtual-volumes.html,Industry-wide framework to streamline storage operations,https://www.vmware.com/in/products/cloud-native-storage.html,Cloud-Native Storage,Storage for modern workloads and applications
5G,https://telco.vmware.com/solutions/5g-core.html,"Unified, multi-cloud 5G network",https://www.vmware.com/in/products/telco-cloud-platform.html,Telco Cloud Platform,Network function deployment for 5G networks
Telco Cloud Automation,https://www.vmware.com/in/products/telco-cloud-automation.html,Automated management of network functions across any cloud,https://www.vmware.com/in/products/telco-cloud-operations.html,Telco Cloud Operations,Automated service assurance for virtual network management
Telco Cloud Infrastructure,https://www.vmware.com/in/products/telco-cloud-infrastructure.html,Multi-tenant platform with compute and storage capabilities,https://www.vmware.com/in/products/uhana.html,Uhana,AI-based RAN analytics for mobile network operators
Cloud Provider Platform,http://cloudsolutions.vmware.com/,Private and hybrid cloud services delivered by VMware partners,https://www.vmware.com/in/products/cloud-partner-navigator.html,Cloud Partner Navigator,Unified partner platform for multi-cloud service delivery
Cloud Director,https://www.vmware.com/in/products/cloud-director.html,Leading cloud service delivery platform,https://www.vmware.com/in/products/cloud-director-availability.html,Cloud Director Availability,Cloud-based disaster recovery services
VMware Marketplace,https://www.vmware.com/in/products/vmware-marketplace.html,"Third-party, open-source and first-party solutions for cloud adoption",,,
NSX,https://www.vmware.com/in/products/nsx.html,Full-stack network and security virtualization,,,
NSX SD-WAN,https://www.vmware.com/in/products/sd-wan-by-velocloud.html,Platform to virtualize WAN connections,https://www.vmware.com/in/products/nsx-advanced-load-balancer.html,NSX Advanced Load Balancer,Multi-cloud load balancing platform
NSX Data Center,https://www.vmware.com/in/products/nsx.html,Network and security virtualization platform,https://www.vmware.com/in/products/nsx-cloud.html,NSX Cloud,Hybrid cloud networking and security
Antrea,https://www.vmware.com/in/products/antrea-container-networking.html,Signed images and binaries with full enterprise support for Project Antrea,https://www.vmware.com/in/products/tanzu-service-mesh.html,Tanzu Service Mesh,Enterprise-class service mesh technology for microservices
vRealize Network Insight,https://www.vmware.com/in/products/vrealize-network-insight.html,App-centric network visibility,https://www.vmware.com/in/products/hcx.html,HCX,Application migration across data centers and clouds
Edge Network Intelligence,https://www.vmware.com/content/microsites/eni/home.html,Actionable and automated insights on network health and app delivery,https://www.vmware.com/in/products/nsx-intelligence-analytics-engine.html,NSX Intelligence,Distributed analytics engine native to NSX
NSX Service-Defined Firewall,https://www.vmware.com/in/security/internal-firewall.html,Layer 7 internal firewall,https://www.vmware.com/in/products/nsx-advanced-threat-prevention.html,NSX Advanced Threat Prevention,Network traffic analysis and intrusion prevention for NSX Service-Defined Firewall
NSX Network Detection & Response,https://www.vmware.com/in/products/nsx-network-detection-response.html,AI-powered network detection and response (NDR),https://www.vmware.com/in/products/nsx-distributed-ids-ips.html,NSX Distributed IDS/IPS,Software-based IDS/IPS solution
NSX Advanced Threat Analyzer,https://www.vmware.com/in/products/nsx-advanced-threat-analyzer.html,Complete malware analysis,,,
VMware SASE Platform,https://www.vmware.com/in/products/sase-platform.html,Secure and reliable access to apps for the anywhere workforce,https://www.vmware.com/in/products/secure-access.html,VMware Secure Access,Enable secure and high-performance access for remote and mobile users
Workspace ONE,https://www.vmware.com/in/products/workspace-one/device-security.html,Digital workspace platform that enables zero trust,,,
Workspace ONE UEM,https://www.vmware.com/in/products/workspace-one/unified-endpoint-management.html,Multi-platform endpoint and app management,https://www.vmware.com/in/products/workspace-one/intelligence.html,Workspace ONE Intelligence,"Digital workspace insights, app analytics, and automation"
Workspace ONE Assist,https://www.vmware.com/in/products/workspace-one/workspaceone-assist.html,Remote support for digital employees,,,
Horizon,https://www.vmware.com/in/products/horizon.html,Secure Virtual desktop (VDI) and app platform,https://www.vmware.com/in/products/horizon-cloud-virtual-desktops.html,Horizon Cloud,Cloud-native virtual desktop platform
