Text,Title,Image,Field,anchornav_URL,anchornav
,Michelin,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-logo-michelin.jpg,The world leader in tires connects more than two hundred sites globally with VMware SD-WAN.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/the-most-efficient-it-and-network-services-at-the-best-cost,LEARN MORE 
,Shift Technology,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-shift-logo.png,Artificial intelligence claims analysis specialist relies on OVHcloud and VMware to drive its data center.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/a-private-cloud-dedicated-to-data-protection-and-management,LEARN MORE 
,Oshinei Enterprise,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-oshinei-logo.png,The restaurant could not expand due to the slow IT setup for each branch. But moving to a VMware-powered cloud platform helped it grow exponentially.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/japanese-restaurant-grows-from-three-to-18-outlets-with-vmware-cloud,LEARN MORE 
,Mitel,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-mitel-logo.png,"Global telecom leader capitalizes on IT standardization, automation, and consolidation through Google Cloud VMware Engine cloud infrastructure.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/accelerating-time-to-market-with-google-cloud-vmware-engine,LEARN MORE 
,Intellicare,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-intellicare-logo.png,"Using VMware Anywhere Workspace solutions, a healthcare provider maintained business continuing by enabling 70 percent of its staff to work remotely.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/supporting-1-4-million-members-during-lockdown-with-vmware,LEARN MORE 
,Aristopharma,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-aristopharma-logo.png,Pharmaceutical company ensures customer data and R&D efforts remain safe by managing company devices with VMware’s Anywhere Workspace solutions.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/finding-the-right-formula-to-safeguard-proprietary-data-with-vmware,LEARN MORE 
,UA Finance,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-ua-finance-logo.png,"A finance company modernized its IT infrastructure, creating an adaptable technology foundation that leads innovation in the industry.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/transform-creative-loan-services-with-vmware-cloud-native-solutions,LEARN MORE 
,Zühlke,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-zuhlke-logo.png,Innovation service provider modernizes workspaces with Dell Provisioning for VMware Workspace ONE™ and Jevotrust Management AG.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/driving-digital-change-with-vmware-workspace-one,LEARN MORE 
,Asklepios,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-asklepios-logo.png,The healthcare group ensures the highest security and optimal medical care with Carbon Black Cloud™ Endpoint Advanced and Carbon Black® App Control.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/leading-healthcare-group-revolutionizes-medical-care-with-vmware,LEARN MORE 
,DVB Bank SE,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-dvb-logo.png,"Thanks to VMware Carbon Black Cloud™ Workload, DVB Bank SE has implemented a solution that is ideally suited to warding off modern threats.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/dvb-bank-se-enhances-and-simplifies-security-with-vmware,LEARN MORE 
